EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,IMG_DIR,LABEL_DIR,VAL_DIR,CLASS_NAME,EPOCHS,THRESHOLD,MASK_COUNT,DEVICE,LR,OPTIMIZER,CRITERION,RUNNING_TIME
DeepLabV3_binary_grayscale_clinkers,DeepLabV3_binary_grayscale_clinkers_MASKED_METRICS_1708023124.349605,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,10.346006870269775
DeepLabV3_binary_grayscale_mozaik,DeepLabV3_binary_grayscale_mozaik_MASKED_METRICS_1708023131.333922,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,10.420912027359009
DeepLabV3_binary_grayscale_grass,DeepLabV3_binary_grayscale_grass_MASKED_METRICS_1708024624.966484,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,8.449081897735596
DeepLabV3_binary_grayscale_mozaik,DeepLabV3_binary_grayscale_mozaik_MASKED_METRICS_1708024636.376234,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,9.261128664016724
DeepLabV3_binary_grayscale_grass,DeepLabV3_binary_grayscale_grass_MASKED_METRICS_1708025229.319125,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,8.390849351882935
DeepLabV3_binary_grayscale_mozaik,DeepLabV3_binary_grayscale_mozaik_MASKED_METRICS_1708025242.177839,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,9.094409465789795
DeepLabV3_binary_grayscale_grass,DeepLabV3_binary_grayscale_grass_MASKED_METRICS_1708026130.513641,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,8.488467693328857
DeepLabV3_binary_grayscale_tiles,DeepLabV3_binary_grayscale_tiles_MASKED_METRICS_1708026133.674769,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,3,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,10.469659805297852
DeepLabV3_binary_grayscale_bike-asphalt,DeepLabV3_binary_grayscale_bike-asphalt_MASKED_METRICS_1708026738.625576,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,477.4532172679901
DeepLabV3_binary_grayscale_asphalt,DeepLabV3_binary_grayscale_asphalt_MASKED_METRICS_1708026732.918215,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,600.3628396987915
DeepLabV3_binary_grayscale_clinkers,DeepLabV3_binary_grayscale_clinkers_MASKED_METRICS_1708027630.589392,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,78.42318964004517
DeepLabV3_binary_grayscale_clinkers,DeepLabV3_binary_grayscale_clinkers_MASKED_METRICS_1708027930.375236,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,113.07453942298889
DeepLabV3_binary_grayscale_grass,DeepLabV3_binary_grayscale_grass_MASKED_METRICS_1708027624.66207,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,687.6798951625824
DeepLabV3_binary_grayscale_mozaik,DeepLabV3_binary_grayscale_mozaik_MASKED_METRICS_1708028524.913131,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,628.3545024394989
DeepLabV3_binary_grayscale_tiles,DeepLabV3_binary_grayscale_tiles_MASKED_METRICS_1708028530.383218,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,25,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,723.0535907745361
DeepLabV3_binary_grayscale_clinkers,DeepLabV3_binary_grayscale_clinkers_MASKED_METRICS_1708027944.590985,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,25,0.5,500,cpu,0.001,Adam,BCEWithLogitsLoss,3409.3225858211517
