EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,IMG_DIR,LABEL_DIR,VAL_DIR,CLASS_NAME,EPOCHS,THRESHOLD,MASK_COUNT,DEVICE,LR,OPTIMIZER,CRITERION,RUNNING_TIME
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1706755962.712677,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,20,cuda,0.01,Adam,BCEWithLogitsLoss,32.44222283363342
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1706756562.852644,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,30,0.5,1500,cuda,0.01,Adam,BCEWithLogitsLoss,1347.510516166687
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706982843.852919,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,20,cuda,0.001,Adam,BCEWithLogitsLoss,46.15913152694702
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706982895.1638,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,20,cuda,0.001,Adam,BCEWithLogitsLoss,44.92561960220337
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706984053.248202,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,20,cuda,0.001,Adam,BCEWithLogitsLoss,35.20766568183899
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706984094.431589,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,20,cuda,0.001,Adam,BCEWithLogitsLoss,33.640891313552856
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706985257.532478,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,372.9228422641754
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706985636.309215,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,371.70615577697754
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706987356.984315,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,34.57738637924194
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706987397.302883,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,33.83329892158508
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_1706988254.252943,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,5,0.5,10,cuda,0.001,Adam,BCEWithLogitsLoss,9.137543201446533
