EXPERIMENT_NAME,EXPERIMENT_NAME_VERSION,IMG_DIR,LABEL_DIR,VAL_DIR,CLASS_NAME,EPOCHS,THRESHOLD,MASK_COUNT,DEVICE,LR,OPTIMIZER,CRITERION,RUNNING_TIME
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707027692.720912,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,544.0438103675842
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_MASKED_METRICS_1707028243.452903,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/asphalt,asphalt,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,537.0539119243622
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_MASKED_METRICS_1707028890.230245,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,76.46174693107605
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1707028586.111704,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,424.66624212265015
UNET_binary_grayscale_clinkers,UNET_binary_grayscale_clinkers_MASKED_METRICS_1707028972.251003,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/clinkers,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/clinkers,clinkers,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,77.34042143821716
UNET_binary_grayscale_bike-asphalt,UNET_binary_grayscale_bike-asphalt_MASKED_METRICS_1707029016.358074,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/bike-asphalt,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/bike-asphalt,bike-asphalt,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,423.58397603034973
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_MASKED_METRICS_1707029191.385062,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,535.9136562347412
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_MASKED_METRICS_1707029733.471396,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/grass,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/grass,grass,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,539.7283055782318
UNET_binary_grayscale_mozaik,UNET_binary_grayscale_mozaik_MASKED_METRICS_1707030090.663497,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,539.1694972515106
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_MASKED_METRICS_1707030391.88542,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,533.0892655849457
UNET_binary_grayscale_mozaik,UNET_binary_grayscale_mozaik_MASKED_METRICS_1707030635.175037,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/mozaik,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/mozaik,mozaik,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,535.3298652172089
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_MASKED_METRICS_1707030930.957417,/projects/0/gusr51794/srst_scratch_drive/binary_training/images/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/train/512/tiles,/projects/0/gusr51794/srst_scratch_drive/binary_training/val/512/tiles,tiles,20,0.5,500,cuda,0.001,Adam,BCEWithLogitsLoss,537.8412179946899
